id,city_id/id,district_id/id,name,code
barrio_108114,l10n_co_base.city_11001,localidad_2,PARAMO III RURAL,108114
barrio_109101,l10n_co_base.city_11001,localidad_20,EL TOLDO,109101
barrio_109102,l10n_co_base.city_11001,localidad_20,SAN ANTONIO,109102
barrio_109103,l10n_co_base.city_11001,localidad_20,LAS VEGAS,109103
barrio_109104,l10n_co_base.city_11001,localidad_20,SAN JUAN,109104
barrio_109105,l10n_co_base.city_11001,localidad_20,SANTO DOMINGO,109105
barrio_109106,l10n_co_base.city_11001,localidad_20,LA UNION,109106
barrio_109107,l10n_co_base.city_11001,localidad_20,CHORRERAS,109107
barrio_109109,l10n_co_base.city_11001,localidad_20,TUNAL ALTO,109109
barrio_109110,l10n_co_base.city_11001,localidad_20,CONCEPCION,109110
barrio_109111,l10n_co_base.city_11001,localidad_20,SAN JOSE,109111
barrio_109112,l10n_co_base.city_11001,localidad_20,CAPITOLIO,109112
barrio_109113,l10n_co_base.city_11001,localidad_20,LAGUNITAS,109113
barrio_109114,l10n_co_base.city_11001,localidad_20,TUNAL BAJO,109114
barrio_109116,l10n_co_base.city_11001,localidad_20,NUEVA GRANADA,109116
barrio_1101,l10n_co_base.city_11001,localidad_4,LAS BRISAS,1101
barrio_1102,l10n_co_base.city_11001,localidad_3,BUENOS AIRES,1102
barrio_1102,l10n_co_base.city_11001,localidad_4,BUENOS AIRES,1102
barrio_1103,l10n_co_base.city_11001,localidad_3,VITELMA,1103
barrio_1103,l10n_co_base.city_11001,localidad_4,VITELMA,1103
barrio_1104,l10n_co_base.city_11001,localidad_4,MOLINOS DE ORIENTE,1104
barrio_1106,l10n_co_base.city_11001,localidad_4,SAN BLAS,1106
barrio_1107,l10n_co_base.city_11001,localidad_4,LAS MERCEDES,1107
barrio_1108,l10n_co_base.city_11001,localidad_4,SAN CRISTOBAL SUR,1108
barrio_1109,l10n_co_base.city_11001,localidad_4,LA MARIA,1109
barrio_1110,l10n_co_base.city_11001,localidad_4,SAN JAVIER,1110
barrio_1111,l10n_co_base.city_11001,localidad_4,SANTA ANA SUR,1111
barrio_1112,l10n_co_base.city_11001,localidad_4,PRIMERO DE MAYO,1112
barrio_1113,l10n_co_base.city_11001,localidad_4,SAN BLAS II,1113
barrio_1114,l10n_co_base.city_11001,localidad_4,VELODROMO,1114
barrio_1115,l10n_co_base.city_11001,localidad_4,MONTE CARLO,1115
barrio_1116,l10n_co_base.city_11001,localidad_4,TIBAQUE URBANO,1116
barrio_1201,l10n_co_base.city_11001,localidad_15,SEVILLA,1201
barrio_1202,l10n_co_base.city_11001,localidad_4,CIUDAD BERNA,1202
barrio_1202,l10n_co_base.city_11001,localidad_15,CIUDAD BERNA,1202
barrio_1203,l10n_co_base.city_11001,localidad_15,CARACAS,1203
barrio_1204,l10n_co_base.city_11001,localidad_15,CIUDAD JARDIN SUR,1204
barrio_1204,l10n_co_base.city_11001,localidad_18,CIUDAD JARDIN SUR,1204
barrio_1205,l10n_co_base.city_11001,localidad_4,SOCIEGO,1205
barrio_1205,l10n_co_base.city_11001,localidad_15,SOCIEGO,1205
barrio_1205,l10n_co_base.city_11001,localidad_18,SOCIEGO,1205
barrio_1206,l10n_co_base.city_11001,localidad_4,QUINTA RAMOS,1206
barrio_1207,l10n_co_base.city_11001,localidad_4,NARINO SUR,1207
barrio_1207,l10n_co_base.city_11001,localidad_15,NARINO SUR,1207
barrio_1208,l10n_co_base.city_11001,localidad_3,LA HORTUA,1208
barrio_1208,l10n_co_base.city_11001,localidad_4,LA HORTUA,1208
barrio_1208,l10n_co_base.city_11001,localidad_14,LA HORTUA,1208
barrio_1208,l10n_co_base.city_11001,localidad_15,LA HORTUA,1208
barrio_1209,l10n_co_base.city_11001,localidad_3,MODELO SUR,1209
barrio_1209,l10n_co_base.city_11001,localidad_4,MODELO SUR,1209
barrio_1210,l10n_co_base.city_11001,localidad_4,CALVO SUR,1210
barrio_1211,l10n_co_base.city_11001,localidad_4,POLICARPA,1211
barrio_1211,l10n_co_base.city_11001,localidad_15,POLICARPA,1211
barrio_1301,l10n_co_base.city_11001,localidad_4,GRANADA SUR,1301
barrio_1302,l10n_co_base.city_11001,localidad_4,MONTEBELLO,1302
barrio_1303,l10n_co_base.city_11001,localidad_4,CORDOBA,1303
barrio_1304,l10n_co_base.city_11001,localidad_4,BELLO HORIZONTE,1304
barrio_1305,l10n_co_base.city_11001,localidad_4,ATENAS,1305
barrio_1306,l10n_co_base.city_11001,localidad_4,SAN PEDRO,1306
barrio_1307,l10n_co_base.city_11001,localidad_4,RAMAJAL,1307
barrio_1308,l10n_co_base.city_11001,localidad_4,SANTA INES SUR,1308
barrio_1309,l10n_co_base.city_11001,localidad_4,SAN VICENTE,1309
barrio_1310,l10n_co_base.city_11001,localidad_4,LA VICTORIA,1310
barrio_1311,l10n_co_base.city_11001,localidad_4,LA GLORIA OCCIDENTAL,1311
barrio_1312,l10n_co_base.city_11001,localidad_4,LOS ALPES,1312
barrio_1313,l10n_co_base.city_11001,localidad_4,BELLAVISTA SUR,1313
barrio_1314,l10n_co_base.city_11001,localidad_4,SAN JOSE SUR ORIENTAL,1314
barrio_1315,l10n_co_base.city_11001,localidad_4,ALTAMIRA,1315
barrio_1316,l10n_co_base.city_11001,localidad_4,MORALBA,1316
barrio_1317,l10n_co_base.city_11001,localidad_4,PUENTE COLORADO,1317
barrio_1318,l10n_co_base.city_11001,localidad_4,QUINDIO,1318
barrio_1319,l10n_co_base.city_11001,localidad_4,LA GLORIA ORIENTAL,1319
barrio_1320,l10n_co_base.city_11001,localidad_4,NUEVA GLORIA,1320
barrio_1321,l10n_co_base.city_11001,localidad_4,SAN MARTIN SUR,1321
