,id,domain,description,chart_template_id:id,type_tax_use,name,sequence,amount,parent_id:id,child_depend,price_include,type,account_collected_id:id,account_paid_id:id,base_code_id:id,tax_code_id:id,ref_base_code_id:id,ref_tax_code_id:id,ref_base_sign,ref_tax_sign,base_sign,tax_sign
053,tax_iiva_exc_sv_SCI,iva,IVAecS>SI,l10n_co_chart_template_generic,Sale,IVA EXCLU SERV SOCEDAD COMMERCIO INTERNACIONAL - OUT,,0.00,,,,percent,,,atctn_iva_Sexcl_V_SCI_B,atctn_iva_Sexcl_V_SCI_V,atctn_iva_Sexcl_V_SCI_DB,atctn_iva_Sexcl_V_SCI_DV,-1,-1,1,1
054,tax_iiva_no__bv,iva,IVAngB>,l10n_co_chart_template_generic,Sale,IVA NOGRA BIEN - OUT,,0.00,,,,percent,,,atctn_iva_Bnogr_V_NAT_B,atctn_iva_Bnogr_V_NAT_V,atctn_iva_Bnogr_V_NAT_DB,atctn_iva_Bnogr_V_NAT_DV,-1,-1,1,1
055,tax_iiva_no__bv_EXT,iva,IVAngB>EX,l10n_co_chart_template_generic,Sale,IVA NOGRA BIEN EXTERIOR - OUT,,0.00,,,,percent,,,atctn_iva_Bnogr_V_EXT_B,atctn_iva_Bnogr_V_EXT_V,atctn_iva_Bnogr_V_EXT_DB,atctn_iva_Bnogr_V_EXT_DV,-1,-1,1,1
056,tax_iiva_no__bv_ZFR,iva,IVAngB>ZF,l10n_co_chart_template_generic,Sale,IVA NOGRA BIEN ZONA FRANCA - OUT,,0.00,,,,percent,,,atctn_iva_Bnogr_V_ZFR_B,atctn_iva_Bnogr_V_ZFR_V,atctn_iva_Bnogr_V_ZFR_DB,atctn_iva_Bnogr_V_ZFR_DV,-1,-1,1,1
057,tax_iiva_no__bv_SCI,iva,IVAngB>SI,l10n_co_chart_template_generic,Sale,IVA NOGRA BIEN SOCEDAD COMMERCIO INTERNACIONAL - OUT,,0.00,,,,percent,,,atctn_iva_Bnogr_V_SCI_B,atctn_iva_Bnogr_V_SCI_V,atctn_iva_Bnogr_V_SCI_DB,atctn_iva_Bnogr_V_SCI_DV,-1,-1,1,1
058,tax_iiva_no__sv,iva,IVAngS>,l10n_co_chart_template_generic,Sale,IVA NOGRA SERV - OUT,,0.00,,,,percent,,,atctn_iva_Snogr_V_NAT_B,atctn_iva_Snogr_V_NAT_V,atctn_iva_Snogr_V_NAT_DB,atctn_iva_Snogr_V_NAT_DV,-1,-1,1,1
059,tax_iiva_no__sv_EXT,iva,IVAngS>EX,l10n_co_chart_template_generic,Sale,IVA NOGRA SERV EXTERIOR - OUT,,0.00,,,,percent,,,atctn_iva_Snogr_V_EXT_B,atctn_iva_Snogr_V_EXT_V,atctn_iva_Snogr_V_EXT_DB,atctn_iva_Snogr_V_EXT_DV,-1,-1,1,1
060,tax_iiva_no__sv_ZFR,iva,IVAngS>ZF,l10n_co_chart_template_generic,Sale,IVA NOGRA SERV ZONA FRANCA - OUT,,0.00,,,,percent,,,atctn_iva_Snogr_V_ZFR_B,atctn_iva_Snogr_V_ZFR_V,atctn_iva_Snogr_V_ZFR_DB,atctn_iva_Snogr_V_ZFR_DV,-1,-1,1,1
061,tax_iiva_no__sv_SCI,iva,IVAngS>SI,l10n_co_chart_template_generic,Sale,IVA NOGRA SERV SOCEDAD COMMERCIO INTERNACIONAL - OUT,,0.00,,,,percent,,,atctn_iva_Snogr_V_SCI_B,atctn_iva_Snogr_V_SCI_V,atctn_iva_Snogr_V_SCI_DB,atctn_iva_Snogr_V_SCI_DV,-1,-1,1,1
062,tax_iiva_05bc_D,iva,IVA05B<,l10n_co_chart_template_generic,Purchase,IVA 5% DIRECTO BIEN NACIONAL - IN,,0.05,,,,percent,co_puc_240810,co_puc_240810,atctn_iva_B0500_C_NAT_directo_B,atctn_iva_B0500_C_NAT_directo_V,atctn_iva_B0500_C_NAT_directo_DB,atctn_iva_B0500_C_NAT_directo_DV,-1,-1,1,1
